###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57581.377003  21.303  2.200    11   24 c  0   1.04 236.97569  44.65204  2710.74  7704.99 4.17 3.75 -56.6 -0.440 18.98 20.61 02a57581o0259c
57597.342325 -20.974  1.483   -15   22 o  0   1.01 236.97569  44.65204  9396.44  9228.06 4.53 3.85  83.9 -0.425 19.22 21.03 02a57597o0118o
57597.352734  20.903  1.235    16   20 o  0   1.25 236.97569  44.65204  9411.35  9112.22 4.31 3.55  83.2 -0.457 19.25 21.04 02a57597o0139o
57597.363367 -20.595  1.125   -21   24 o  0   0.92 236.97569  44.65204  9382.28  9167.79 4.59 3.92  82.3 -0.418 19.19 21.06 02a57597o0161o
57598.295192  19.784  0.466    44   21 o  0   1.08 236.97569  44.65204  2888.07  9674.29 4.33 4.04 -54.2 -0.424 19.23 21.14 02a57598o0121o
57598.300051 -20.915  1.424   -16   22 o  0   0.95 236.97569  44.65204  2860.89  9635.44 4.17 3.92 -49.0 -0.420 19.26 21.14 02a57598o0131o
57598.320112  20.724  1.371    19   26 o  0   0.73 236.97569  44.65204  2917.21  9709.53 4.47 4.11 -43.3 -0.426 19.18 21.11 02a57598o0172o
57598.330953 -19.984  0.651   -37   24 o  0   0.88 236.97569  44.65204  2947.70  9591.69 4.74 4.34 -56.2 -0.402 19.10 21.09 02a57598o0194o
57598.342521  21.132  1.786    13   23 o  0   0.96 236.97569  44.65204  2904.36  9649.41 4.08 3.82 -45.7 -0.431 19.23 21.06 02a57598o0218o
57605.281963 -20.828  1.057   -17   18 c  0   0.96 236.97569  44.65204  2951.65  7782.88 4.58 4.30 -56.1 -0.360 19.47 21.75 02a57605o0092c
57605.294434 -20.810  1.057   -17   18 c  0   0.88 236.97569  44.65204  2937.14  7743.54 4.53 4.28 -60.6 -0.378 19.52 21.77 02a57605o0116c
57605.301083  20.903  1.129    16   18 c  0   0.83 236.97569  44.65204  2992.53  7818.44 4.67 4.43 -55.1 -0.365 19.50 21.81 02a57605o0129c
57605.322574 -21.140  1.250   -13   16 c  0   1.19 236.97569  44.65204  3006.72  7699.35 4.34 4.08 -55.9 -0.390 19.50 21.72 02a57605o0171c
57605.329892  22.397  4.625     4   18 c  0   0.90 236.97569  44.65204  2966.63  7759.30 4.55 4.28 -67.1 -0.381 19.40 21.69 02a57605o0185c
57609.300534  19.900  0.584    40   23 c  0   0.79 236.97569  44.65204  5949.97  1068.38 4.47 3.59   3.7 -0.497 19.39 21.20 02a57609o0132c
57609.303332 -18.877  0.232  -102   24 c  0   1.06 236.97569  44.65204  5925.13  1028.37 4.48 3.60   3.3 -0.495 19.39 21.21 02a57609o0137c
57609.319153  16.053  0.022  1376   30 c  0  41.38 236.97569  44.65204  5992.98  1106.81 4.51 3.66   4.6 -0.500 19.35 21.17 02a57609o0165c
57609.339595  24.670 45.000     0   22 c  0   0.88 236.97569  44.65204  6006.68   988.01 4.70 3.65   5.0 -0.473 19.35 21.23 02a57609o0196c
57609.352215  19.793  0.500    44   22 c  0   1.24 236.97569  44.65204  5965.39  1044.10 4.81 3.75   4.2 -0.464 19.18 21.06 02a57609o0222c
