mjd,instrument,filter,mag,emag,wave,mag0,tmax_rf,tmax_of,mag0_abs,freq,fratio,fratio_unc,fnu,fnu_unc,nufnu,nufnu_unc,flambda,flambda_unc,Llambda,Llambda_unc,datetime64,date
58590.0268,LT+IOO,i,19.24,0.07,7658.73,19.19579884906772,6.684421815335894,6.8268000000025495,-15.640867746254756,391438865190442.8,1804459.3316154133,116337.7924209662,6.551991833095566e-14,4.224225242805283e-15,25.647042478839776,1.6535259353525227,0.0033487330770035992,0.00021590080017868795,4.0067429952677105e+37,2.5832426738612878e+36,2019-04-17T00:38:35.519999969,2019 04 17
58590.0277,LT+IOO,z,19.28,0.21,9669.83,19.250916852299834,6.685303045140156,6.8277000000016415,-15.585749743022642,310028674754364.9,1715141.2703436296,331737.73260365747,6.22767795261772e-14,1.2045397070838802e-14,19.30758742447048,3.7344184907622626,0.0019966832327425075,0.0003861927759601009,2.389021869643309e+37,4.6207779608570564e+36,2019-04-17T00:39:53.279999890,2019 04 17
58591.0676,LT+IOO,g,19.44,0.07,4795.5,19.359165092090457,7.703515127783256,7.867600000005041,-15.47750150323202,625153702429360.8,1552389.15928263,100086.22782731282,5.6367250373552296e-14,3.634130932409728e-15,35.238195266788985,2.2718904075090065,0.007348179598955059,0.00047375464654551277,8.792061492827854e+37,5.66845152442027e+36,2019-04-18T01:37:20.640000184,2019 04 18
58591.0685,LT+IOO,r,19.31,0.09,6187.58,19.250238305537234,7.704396357587518,7.868500000004133,-15.586428289785243,484506799104011.56,1716213.50805212,142262.19504128981,6.231571247737248e-14,5.165540301949233e-15,30.192386386297656,2.5027393973401924,0.004879514509113039,0.00040447790531034626,5.838315604774855e+37,4.839558652709674e+36,2019-04-18T01:38:38.400000106,2019 04 18
58591.0693,LT+IOO,i,19.22,0.06,7658.73,19.17579884906772,7.705179672971458,7.869300000005751,-15.660867746254755,391438865190442.8,1838006.735277348,101572.0058273346,6.67380245579205e-14,3.688079531590519e-15,26.123856598004306,1.4436576665778929,0.0034109906731278304,0.00018849831063086085,4.081233909125847e+37,2.2553732064419984e+36,2019-04-18T01:39:47.520000245,2019 04 18
58591.0701,LT+IOO,z,19.1,0.12,9669.83,19.070916852299835,7.705962988348274,7.870100000000093,-15.765749743022642,310028674754364.9,2024416.6344445085,223746.79509509288,7.35065679966801e-14,8.124246129902822e-15,22.78914386175234,2.5187492610320494,0.0023567264224657867,0.00026047503017447563,2.8198118117632736e+37,3.1165711885510303e+36,2019-04-18T01:40:56.639999757,2019 04 18
58591.374,P48+ZTF,g,19.678,0.148,4813.97,19.59757398755756,8.003524919226813,8.174000000006345,-15.239092607764917,622755143883322.9,1246341.4625278336,169892.5905259016,4.525465850438564e-14,6.168799961995488e-15,28.18257136828932,3.8416519079199367,0.005854330494018309,0.0007980215721992319,7.004678234874079e+37,9.548289669425811e+36,2019-04-18T08:58:33.600000297,2019 04 18
58591.4525,P48+ZTF,r,19.31,0.052,6421.81,19.25274146346069,8.080387741116546,8.252500000002328,-15.583925131861786,466834830055700.75,1712261.3463032015,82006.65098719948,6.217220948426925e-14,2.977661497345213e-15,29.024152848776264,1.390076099076556,0.00451962185875575,0.0002164617294931734,5.407705782281126e+37,2.5899541660882706e+36,2019-04-18T10:51:35.999999950,2019 04 18
58592.0472,LT+IOO,g,19.4,0.13,4795.5,19.319165092090454,8.662684813476739,8.847200000003795,-15.517501503232022,625153702429360.8,1610647.865163567,192849.9957481923,5.848262398408912e-14,7.0023833456168626e-15,36.56062891143745,4.377565874342076,0.007623945138450099,0.0009128486861311805,9.122013632428256e+37,1.092219055622124e+37,2019-04-19T01:07:58.080000076,2019 04 19
58592.0472,LT+IOO,r,19.26,0.12,6187.58,19.200238305537237,8.662684813476739,8.847200000003795,-15.63642828978524,484506799104011.56,1797096.158831952,198622.40764815902,6.525256152718817e-14,7.211979621704654e-15,31.615309718875512,3.4942531617154824,0.005109478943120818,0.0005647204822750546,6.113466942290784e+37,6.756853366958714e+36,2019-04-19T01:07:58.080000076,2019 04 19
58592.0489,LT+IOO,i,19.27,0.1,7658.73,19.225798849067722,8.664349358664941,8.848900000004505,-15.610867746254755,391438865190442.8,1755282.8052473296,161667.52085405088,6.373431865853053e-14,5.870147682210588e-15,24.948089369381258,2.2978039472248204,0.0032574708038253415,0.0003000241485500625,3.8975481250344627e+37,3.5897744847724986e+36,2019-04-19T01:10:24.960000138,2019 04 19
